[['geen_match_match_1', 1],'DashedSentence', {s: 'De professor besprak met geen enkele vriend de nieuwe resultaten die periode.    \n    De hele week lag hij met zeer hevige koorts op bed.'}, 'Question', {q: 'Wie lag er met koorts op bed?', as:['professor ', 'vriend '] }],
[['een_mis_match_2',2],'DashedSentence', {s: 'De dokter maakte met een logopediste een praatje die dag.     \n    Zoals wel vaker ging hij helemaal op in het werk.'}, 'Question', {q: 'Wie ging er helemaal op in het werk?', as:['dokter ', 'logopediste '] }],
[['een_match_mis_2',2],'DashedSentence', {s: 'De dokter maakte met een logopediste een praatje die dag.     \n    Zoals wel vaker ging zij helemaal op in het werk.'}, 'Question', {q: 'Wie ging er helemaal op in het werk?', as:['dokter ', 'logopediste '] }],
[['geen_match_match_3',3],'DashedSentence', {s: 'De wethouder bestelde bij geen enkele barman een drankje tijdens het feest.    \n    De hele tijd was hij druk in de weer.'}, 'Question', {q: 'Wie was er de hele tijd druk bezig?', as:['wethouder ', 'barman '] }],
[['geen_mis_mis_3',3],'DashedSentence', {s: 'De wethouder bestelde bij geen enkele barman een drankje tijdens het feest.    \n    De hele tijd was zij druk in de weer.'}, 'Question', {q: 'Wie was er de hele tijd druk bezig?', as:['wethouder ', 'barman '] }],
[['geen_mis_match_3',3],'DashedSentence', {s: 'De wethouder bestelde bij geen enkele barvrouw een drankje tijdens het feest.    \n    De hele tijd was hij druk in de weer.'}, 'Question', {q: 'Wie was er de hele tijd druk bezig?', as:['wethouder ', 'barvrouw '] }],
[['geen_match_mis_3',3],'DashedSentence', {s: 'De wethouder bestelde bij geen enkele barvrouw een drankje tijdens het feest.    \n    De hele tijd was zij druk in de weer.'}, 'Question', {q: 'Wie was er de hele tijd druk bezig?', as:['wethouder ', 'barvrouw '] }],
[['een_match_match_3',3],'DashedSentence', {s: 'De wethouder bestelde bij een barman een drankje tijdens het feest.    \n    De hele tijd was hij druk in de weer.'}, 'Question', {q: 'Wie was er de hele tijd druk bezig?', as:['wethouder ', 'barman '] }],
[['een_mis_mis_3',3],'DashedSentence', {s: 'De wethouder bestelde bij een barman een drankje tijdens het feest.    \n    De hele tijd was zij druk in de weer.'}, 'Question', {q: 'Wie was er de hele tijd druk bezig?', as:['wethouder ', 'barman '] }],
[['een_mis_match_3',3],'DashedSentence', {s: 'De wethouder bestelde bij een barvrouw een drankje tijdens het feest.    \n    De hele tijd was hij druk in de weer.'}, 'Question', {q: 'Wie was er de hele tijd druk bezig?', as:['wethouder ', 'barvrouw '] }],
[['een_match_mis_3',3],'DashedSentence', {s: 'De wethouder bestelde bij een barvrouw een drankje tijdens het feest.    \n    De hele tijd was zij druk in de weer.'}, 'Question', {q: 'Wie was er de hele tijd druk bezig?', as:['wethouder ', 'barvrouw '] }],
[['geen_match_match_4',4],'DashedSentence', {s: 'De dader had zich door geen enkele danser laten herkennen in het theater.    \n    Na de overval was hij heel snel weer weggerend.'}, 'Question', {q: 'Wie was er snel weggerend?', as:['dader ', 'danser '] }],
[['geen_mis_mis_4',4],'DashedSentence', {s: 'De dader had zich door geen enkele danser laten herkennen in het theater.    \n    Na de overval was zij heel snel weer weggerend.'}, 'Question', {q: 'Wie was er snel weggerend?', as:['dader ', 'danser '] }],
[['geen_mis_match_4',4],'DashedSentence', {s: 'De dader had zich door geen enkele danseres laten herkennen in het theater.    \n    Na de overval was hij heel snel weer weggerend.'}, 'Question', {q: 'Wie was er snel weggerend?', as:['dader ', 'danseres '] }],
[['geen_match_mis_4',4],'DashedSentence', {s: 'De dader had zich door geen enkele danseres laten herkennen in het theater.    \n    Na de overval was zij heel snel weer weggerend.'}, 'Question', {q: 'Wie was er snel weggerend?', as:['dader ', 'danseres '] }],
[['een_match_match_4',4],'DashedSentence', {s: 'De dader had zich door een danser laten herkennen in het theater.    \n    Na de overval was hij heel snel weer weggerend.'}, 'Question', {q: 'Wie was er snel weggerend?', as:['dader ', 'danser '] }],
[['een_mis_mis_4',4],'DashedSentence', {s: 'De dader had zich door een danser laten herkennen in het theater.    \n    Na de overval was zij heel snel weer weggerend.'}, 'Question', {q: 'Wie was er snel weggerend?', as:['dader ', 'danser '] }],
[['een_mis_match_4',4],'DashedSentence', {s: 'De dader had zich door een danseres laten herkennen in het theater.    \n    Na de overval was hij heel snel weer weggerend.'}, 'Question', {q: 'Wie was er snel weggerend?', as:['dader ', 'danseres '] }],
[['een_match_mis_4',4],'DashedSentence', {s: 'De dader had zich door een danseres laten herkennen in het theater.    \n    Na de overval was zij heel snel weer weggerend.'}, 'Question', {q: 'Wie was er snel weggerend?', as:['dader ', 'danseres '] }],
[['geen_match_match_5',5],'DashedSentence', {s: 'De scheidsrechter maakte op geen enkele vader grote indruk die wedstrijd.    \n    Na de rust werd hij plotseling ergens door afgeleid.'}, 'Question', {q: 'Wie was er plotseling afgeleid?', as:['scheidsrechter ', 'vader '] }],
[['geen_mis_mis_5',5],'DashedSentence', {s: 'De scheidsrechter maakte op geen enkele vader grote indruk die wedstrijd.    \n    Na de rust werd zij plotseling ergens door afgeleid.'}, 'Question', {q: 'Wie was er plotseling afgeleid?', as:['scheidsrechter ', 'vader '] }],
[['geen_mis_match_5',5],'DashedSentence', {s: 'De scheidsrechter maakte op geen enkele moeder grote indruk die wedstrijd.    \n    Na de rust werd hij plotseling ergens door afgeleid.'}, 'Question', {q: 'Wie was er plotseling afgeleid?', as:['scheidsrechter ', 'moeder '] }],
[['geen_match_mis_5',5],'DashedSentence', {s: 'De scheidsrechter maakte op geen enkele moeder grote indruk die wedstrijd.    \n    Na de rust werd zij plotseling ergens door afgeleid.'}, 'Question', {q: 'Wie was er plotseling afgeleid?', as:['scheidsrechter ', 'moeder '] }],
[['een_match_match_5',5],'DashedSentence', {s: 'De scheidsrechter maakte op een vader grote indruk die wedstrijd.    \n    Na de rust werd hij plotseling ergens door afgeleid.'}, 'Question', {q: 'Wie was er plotseling afgeleid?', as:['scheidsrechter ', 'vader '] }],
[['een_mis_mis_5',5],'DashedSentence', {s: 'De scheidsrechter maakte op een vader grote indruk die wedstrijd.    \n    Na de rust werd zij plotseling ergens door afgeleid.'}, 'Question', {q: 'Wie was er plotseling afgeleid?', as:['scheidsrechter ', 'vader '] }],
[['een_mis_match_5',5],'DashedSentence', {s: 'De scheidsrechter maakte op een moeder grote indruk die wedstrijd.    \n    Na de rust werd hij plotseling ergens door afgeleid.'}, 'Question', {q: 'Wie was er plotseling afgeleid?', as:['scheidsrechter ', 'moeder '] }],
[['een_match_mis_5',5],'DashedSentence', {s: 'De scheidsrechter maakte op een moeder grote indruk die wedstrijd.    \n    Na de rust werd zij plotseling ergens door afgeleid.'}, 'Question', {q: 'Wie was er plotseling afgeleid?', as:['scheidsrechter ', 'moeder '] }],
[['geen_match_match_6',6],'DashedSentence', {s: 'De fietsenmaker kreeg van geen enkele buurman een bezoekje afgelopen week.    \n    Al een tijdje had hij niets van zich laten horen.'}, 'Question', {q: 'Wie had er al een tijdje niks van zich laten horen?', as:['fietsenmaker ', 'buurman '] }],
[['geen_mis_mis_6',6],'DashedSentence', {s: 'De fietsenmaker kreeg van geen enkele buurman een bezoekje afgelopen week.    \n    Al een tijdje had zij niets van zich laten horen.'}, 'Question', {q: 'Wie had er al een tijdje niks van zich laten horen?', as:['fietsenmaker ', 'buurman '] }],
[['geen_mis_match_6',6],'DashedSentence', {s: 'De fietsenmaker kreeg van geen enkele buurvrouw een bezoekje afgelopen week.    \n    Al een tijdje had hij niets van zich laten horen.'}, 'Question', {q: 'Wie had er al een tijdje niks van zich laten horen?', as:['fietsenmaker ', 'buurvrouw '] }],
[['geen_match_mis_6',6],'DashedSentence', {s: 'De fietsenmaker kreeg van geen enkele buurvrouw een bezoekje afgelopen week.    \n    Al een tijdje had zij niets van zich laten horen.'}, 'Question', {q: 'Wie had er al een tijdje niks van zich laten horen?', as:['fietsenmaker ', 'buurvrouw '] }],
[['een_match_match_6',6],'DashedSentence', {s: 'De fietsenmaker kreeg van een buurman een bezoekje afgelopen week.    \n    Al een tijdje had hij niets van zich laten horen.'}, 'Question', {q: 'Wie had er al een tijdje niks van zich laten horen?', as:['fietsenmaker ', 'buurman '] }],
[['een_mis_mis_6',6],'DashedSentence', {s: 'De fietsenmaker kreeg van een buurman een bezoekje afgelopen week.    \n    Al een tijdje had zij niets van zich laten horen.'}, 'Question', {q: 'Wie had er al een tijdje niks van zich laten horen?', as:['fietsenmaker ', 'buurman '] }],
[['een_mis_match_6',6],'DashedSentence', {s: 'De fietsenmaker kreeg van een buurvrouw een bezoekje afgelopen week.    \n    Al een tijdje had hij niets van zich laten horen.'}, 'Question', {q: 'Wie had er al een tijdje niks van zich laten horen?', as:['fietsenmaker ', 'buurvrouw '] }],
[['een_match_mis_6',6],'DashedSentence', {s: 'De fietsenmaker kreeg van een buurvrouw een bezoekje afgelopen week.    \n    Al een tijdje had zij niets van zich laten horen.'}, 'Question', {q: 'Wie had er al een tijdje niks van zich laten horen?', as:['fietsenmaker ', 'buurvrouw '] }],
[['geen_match_match_7',7],'DashedSentence', {s: 'De burgemeester zocht met geen enkele bruidegom telefonisch contact die dag.     \n    Sinds twee dagen woont hij pas in deze gemeente.'}, 'Question', {q: 'Wie woont pas net in de gemeente?', as:['burgemeester ', 'bruidegom '] }],
[['geen_mis_mis_7',7],'DashedSentence', {s: 'De burgemeester zocht met geen enkele bruidegom telefonisch contact die dag.     \n    Sinds twee dagen woont zij pas in deze gemeente.'}, 'Question', {q: 'Wie woont pas net in de gemeente?', as:['burgemeester ', 'bruidegom '] }],
[['geen_mis_match_7',7],'DashedSentence', {s: 'De burgemeester zocht met geen enkele bruid telefonisch contact die dag.     \n    Sinds twee dagen woont hij pas in deze gemeente.'}, 'Question', {q: 'Wie woont pas net in de gemeente?', as:['burgemeester ', 'bruid '] }],
[['geen_match_mis_7',7],'DashedSentence', {s: 'De burgemeester zocht met geen enkele bruid telefonisch contact die dag.     \n    Sinds twee dagen woont zij pas in deze gemeente.'}, 'Question', {q: 'Wie woont pas net in de gemeente?', as:['burgemeester ', 'bruid '] }],
[['een_match_match_7',7],'DashedSentence', {s: 'De burgemeester zocht met een bruidegom telefonisch contact die dag.     \n    Sinds twee dagen woont hij pas in deze gemeente.'}, 'Question', {q: 'Wie woont pas net in de gemeente?', as:['burgemeester ', 'bruidegom '] }],
[['een_mis_mis_7',7],'DashedSentence', {s: 'De burgemeester zocht met een bruidegom telefonisch contact die dag.     \n    Sinds twee dagen woont zij pas in deze gemeente.'}, 'Question', {q: 'Wie woont pas net in de gemeente?', as:['burgemeester ', 'bruidegom '] }],
[['een_mis_match_7',7],'DashedSentence', {s: 'De burgemeester zocht met een bruid  telefonisch contact die dag.     \n    Sinds twee dagen woont hij pas in deze gemeente.'}, 'Question', {q: 'Wie woont pas net in de gemeente?', as:['burgemeester ', 'bruid  '] }],
[['een_match_mis_7',7],'DashedSentence', {s: 'De burgemeester zocht met een bruid  telefonisch contact die dag.     \n    Sinds twee dagen woont zij pas in deze gemeente.'}, 'Question', {q: 'Wie woont pas net in de gemeente?', as:['burgemeester ', 'bruid  '] }],
[['geen_match_match_8',8],'DashedSentence', {s: 'De glazenwasser zag geen enkele kapper in de kapsalon die middag.     \n    Na de lunchpauze was hij al snel naar huis gegaan.'}, 'Question', {q: 'Wie was er na de lunch naar huis gegaan?', as:['glazenwasser ', 'kapper '] }],
[['geen_mis_mis_8',8],'DashedSentence', {s: 'De glazenwasser zag geen enkele kapper in de kapsalon die middag.     \n    Na de lunchpauze was zij al snel naar huis gegaan.'}, 'Question', {q: 'Wie was er na de lunch naar huis gegaan?', as:['glazenwasser ', 'kapper '] }],
[['geen_mis_match_8',8],'DashedSentence', {s: 'De glazenwasser zag geen enkele kapster in de kapsalon die middag.    \n    Na de lunchpauze was hij al snel naar huis gegaan.'}, 'Question', {q: 'Wie was er na de lunch naar huis gegaan?', as:['glazenwasser ', 'kapster '] }],
[['geen_match_mis_8',8],'DashedSentence', {s: 'De glazenwasser zag geen enkele kapster in de kapsalon die middag.     \n    Na de lunchpauze was zij al snel naar huis gegaan.'}, 'Question', {q: 'Wie was er na de lunch naar huis gegaan?', as:['glazenwasser ', 'kapster '] }],
[['een_match_match_8',8],'DashedSentence', {s: 'De glazenwasser zag een kapper in de kapsalon die middag.     \n    Na de lunchpauze was hij al snel naar huis gegaan.'}, 'Question', {q: 'Wie was er na de lunch naar huis gegaan?', as:['glazenwasser ', 'kapper '] }],
[['een_mis_mis_8',8],'DashedSentence', {s: 'De glazenwasser zag een kapper in de kapsalon die middag.     \n    Na de lunchpauze was zij al snel naar huis gegaan.'}, 'Question', {q: 'Wie was er na de lunch naar huis gegaan?', as:['glazenwasser ', 'kapper '] }],
[['een_mis_match_8',8],'DashedSentence', {s: 'De glazenwasser zag een kapster in de kapsalon die middag.    \n    Na de lunchpauze was hij al snel naar huis gegaan.'}, 'Question', {q: 'Wie was er na de lunch naar huis gegaan?', as:['glazenwasser ', 'kapster '] }],
[['een_match_mis_8',8],'DashedSentence', {s: 'De glazenwasser zag een kapster in de kapsalon die middag.     \n    Na de lunchpauze was zij al snel naar huis gegaan.'}, 'Question', {q: 'Wie was er na de lunch naar huis gegaan?', as:['glazenwasser ', 'kapster '] }],
[['geen_match_match_9',9],'DashedSentence', {s: 'De makelaar gaf geen enkele schoonheidsspecialist een rondleiding in het gebouw.    \n    De dag ervoor was hij heel toevallig net vijftig geworden.'}, 'Question', {q: 'Wie was er pas jarig geweest?', as:['makelaar ', 'schoonheidsspecialist '] }],
[['geen_mis_mis_9',9],'DashedSentence', {s: 'De makelaar gaf geen enkele schoonheidsspecialist een rondleiding in het gebouw.    \n    De dag ervoor was zij heel toevallig net vijftig geworden.'}, 'Question', {q: 'Wie was er pas jarig geweest?', as:['makelaar ', 'schoonheidsspecialist '] }],
[['geen_mis_match_9',9],'DashedSentence', {s: 'De makelaar gaf geen enkele schoonheidsspecialiste een rondleiding in het gebouw.    \n    De dag ervoor was hij heel toevallig net vijftig geworden.'}, 'Question', {q: 'Wie was er pas jarig geweest?', as:['makelaar ', 'schoonheidsspecialiste '] }],
[['geen_match_mis_9',9],'DashedSentence', {s: 'De makelaar gaf geen enkele schoonheidsspecialiste een rondleiding in het gebouw.    \n    De dag ervoor was zij heel toevallig net vijftig geworden.'}, 'Question', {q: 'Wie was er pas jarig geweest?', as:['makelaar ', 'schoonheidsspecialiste '] }],
[['een_match_match_9',9],'DashedSentence', {s: 'De makelaar gaf een schoonheidsspecialist een rondleiding in het gebouw.    \n    De dag ervoor was hij heel toevallig net vijftig geworden.'}, 'Question', {q: 'Wie was er pas jarig geweest?', as:['makelaar ', 'schoonheidsspecialist '] }],
[['een_mis_mis_9',9],'DashedSentence', {s: 'De makelaar gaf een schoonheidsspecialist een rondleiding in het gebouw.    \n    De dag ervoor was zij heel toevallig net vijftig geworden.'}, 'Question', {q: 'Wie was er pas jarig geweest?', as:['makelaar ', 'schoonheidsspecialist '] }],
[['een_mis_match_9',9],'DashedSentence', {s: 'De makelaar gaf een schoonheidsspecialiste een rondleiding in het gebouw.    \n    De dag ervoor was hij heel toevallig net vijftig geworden.'}, 'Question', {q: 'Wie was er pas jarig geweest?', as:['makelaar ', 'schoonheidsspecialiste '] }],
[['een_match_mis_9',9],'DashedSentence', {s: 'De makelaar gaf een schoonheidsspecialiste een rondleiding in het gebouw.    \n    De dag ervoor was zij heel toevallig net vijftig geworden.'}, 'Question', {q: 'Wie was er pas jarig geweest?', as:['makelaar ', 'schoonheidsspecialiste '] }],
[['geen_match_match_10',10],'DashedSentence', {s: 'De dominee zei tegen geen enkele oom vriendelijk gedag voor de mis.    \n    Na het familiedrama kon hij nog erg moeilijk beleefd doen.'}, 'Question', {q: 'Wie had moeite beleefd te blijven?', as:['dominee ', 'oom '] }],
[['geen_mis_mis_10',10],'DashedSentence', {s: 'De dominee zei tegen geen enkele oom vriendelijk gedag voor de mis.    \n    Na het familiedrama kon zij nog erg moeilijk beleefd doen.'}, 'Question', {q: 'Wie had moeite beleefd te blijven?', as:['dominee ', 'oom '] }],
[['geen_mis_match_10',10],'DashedSentence', {s: 'De dominee zei tegen geen enkele tante vriendelijk gedag voor de mis.    \n    Na het familiedrama kon hij nog erg moeilijk beleefd doen.'}, 'Question', {q: 'Wie had moeite beleefd te blijven?', as:['dominee ', 'tante '] }],
[['geen_match_mis_10',10],'DashedSentence', {s: 'De dominee zei tegen geen enkele tante vriendelijk gedag voor de mis.    \n    Na het familiedrama kon zij nog erg moeilijk beleefd doen.'}, 'Question', {q: 'Wie had moeite beleefd te blijven?', as:['dominee ', 'tante '] }],
[['een_match_match_10',10],'DashedSentence', {s: 'De dominee zei tegen slechts één oom vriendelijk gedag voor de mis.    \n    Na het familiedrama kon hij nog erg moeilijk beleefd doen.'}, 'Question', {q: 'Wie had moeite beleefd te blijven?', as:['dominee ', 'oom '] }],
[['een_mis_mis_10',10],'DashedSentence', {s: 'De dominee zei tegen slechts één oom vriendelijk gedag voor de mis.    \n    Na het familiedrama kon zij nog erg moeilijk beleefd doen.'}, 'Question', {q: 'Wie had moeite beleefd te blijven?', as:['dominee ', 'oom '] }],
[['een_mis_match_10',10],'DashedSentence', {s: 'De dominee zei tegen slechts één tante vriendelijk gedag voor de mis.    \n    Na het familiedrama kon hij nog erg moeilijk beleefd doen.'}, 'Question', {q: 'Wie had moeite beleefd te blijven?', as:['dominee ', 'tante '] }],
[['een_match_mis_10',10],'DashedSentence', {s: 'De dominee zei tegen slechts één tante vriendelijk gedag voor de mis.    \n    Na het familiedrama kon zij nog erg moeilijk beleefd doen.'}, 'Question', {q: 'Wie had moeite beleefd te blijven?', as:['dominee ', 'tante '] }],
[['geen_match_match_11',11],'DashedSentence', {s: 'De monteur had geen enkele neef in dienst genomen sinds het voorval.    \n    Het jaar daarvoor had hij nog een dure rechtszaak aangespannen.'}, 'Question', {q: 'Wie had er juridische stappen ondernomen?', as:['monteur ', 'neef '] }],
[['geen_mis_mis_11',11],'DashedSentence', {s: 'De monteur had geen enkele neef in dienst genomen sinds het voorval.    \n    Het jaar daarvoor had zij nog een dure rechtszaak aangespannen.'}, 'Question', {q: 'Wie had er juridische stappen ondernomen?', as:['monteur ', 'neef '] }],
[['geen_mis_match_11',11],'DashedSentence', {s: 'De monteur had geen enkele nicht in dienst genomen sinds het voorval.    \n    Het jaar daarvoor had hij nog een dure rechtszaak aangespannen.'}, 'Question', {q: 'Wie had er juridische stappen ondernomen?', as:['monteur ', 'nicht '] }],
[['geen_match_mis_11',11],'DashedSentence', {s: 'De monteur had geen enkele nicht in dienst genomen sinds het voorval.    \n    Het jaar daarvoor had zij nog een dure rechtszaak aangespannen.'}, 'Question', {q: 'Wie had er juridische stappen ondernomen?', as:['monteur ', 'nicht '] }],
[['een_match_match_11',11],'DashedSentence', {s: 'De monteur had slechts één neef in dienst genomen sinds het voorval.    \n    Het jaar daarvoor had hij nog een dure rechtszaak aangespannen.'}, 'Question', {q: 'Wie had er juridische stappen ondernomen?', as:['monteur ', 'neef '] }],
[['een_mis_mis_11',11],'DashedSentence', {s: 'De monteur had slechts één neef in dienst genomen sinds het voorval.    \n    Het jaar daarvoor had zij nog een dure rechtszaak aangespannen.'}, 'Question', {q: 'Wie had er juridische stappen ondernomen?', as:['monteur ', 'neef '] }],
[['een_mis_match_11',11],'DashedSentence', {s: 'De monteur had slechts één nicht in dienst genomen sinds het voorval.    \n    Het jaar daarvoor had hij nog een dure rechtszaak aangespannen.'}, 'Question', {q: 'Wie had er juridische stappen ondernomen?', as:['monteur ', 'nicht '] }],
[['een_match_mis_11',11],'DashedSentence', {s: 'De monteur had slechts één nicht in dienst genomen sinds het voorval.    \n    Het jaar daarvoor had zij nog een dure rechtszaak aangespannen.'}, 'Question', {q: 'Wie had er juridische stappen ondernomen?', as:['monteur ', 'nicht '] }],
[['geen_match_match_12',12],'DashedSentence', {s: 'De regisseur herkende geen enkele acteur op de filmset die maand.    \n    Hier in Hollywood is hij niet zo heel bekend.'}, 'Question', {q: 'Wie is er in Hollywood niet zo bekend?', as:['regisseur ', 'acteur '] }],
[['geen_mis_mis_12',12],'DashedSentence', {s: 'De regisseur herkende geen enkele acteur op de filmset die maand.    \n    Hier in Hollywood is zij niet zo heel bekend.'}, 'Question', {q: 'Wie is er in Hollywood niet zo bekend?', as:['regisseur ', 'acteur '] }],
[['geen_mis_match_12',12],'DashedSentence', {s: 'De regisseur herkende geen enkele actrice op de filmset die maand.    \n    Hier in Hollywood is hij niet zo heel bekend.'}, 'Question', {q: 'Wie is er in Hollywood niet zo bekend?', as:['regisseur ', 'actrice '] }],
[['geen_match_mis_12',12],'DashedSentence', {s: 'De regisseur herkende geen enkele actrice op de filmset die maand.    \n    Hier in Hollywood is zij niet zo heel bekend.'}, 'Question', {q: 'Wie is er in Hollywood niet zo bekend?', as:['regisseur ', 'actrice '] }],
[['een_match_match_12',12],'DashedSentence', {s: 'De regisseur herkende slechts één acteur op de filmset die maand.    \n    Hier in Hollywood is hij niet zo heel bekend.'}, 'Question', {q: 'Wie is er in Hollywood niet zo bekend?', as:['regisseur ', 'acteur '] }],
[['een_mis_mis_12',12],'DashedSentence', {s: 'De regisseur herkende slechts één acteur op de filmset die maand.    \n    Hier in Hollywood is zij niet zo heel bekend.'}, 'Question', {q: 'Wie is er in Hollywood niet zo bekend?', as:['regisseur ', 'acteur '] }],
[['een_mis_match_12',12],'DashedSentence', {s: 'De regisseur herkende slechts één actrice op de filmset die maand.    \n    Hier in Hollywood is hij niet zo heel bekend.'}, 'Question', {q: 'Wie is er in Hollywood niet zo bekend?', as:['regisseur ', 'actrice '] }],
[['een_match_mis_12',12],'DashedSentence', {s: 'De regisseur herkende slechts één actrice op de filmset die maand.    \n    Hier in Hollywood is zij niet zo heel bekend.'}, 'Question', {q: 'Wie is er in Hollywood niet zo bekend?', as:['regisseur ', 'actrice '] }],
[['geen_match_match_13',13],'DashedSentence', {s: 'De notaris liet aan geen enkele kleinzoon het testament lezen voor de begrafenis.     \n    Sinds vorige week was hij erg van slag geweest.'}, 'Question', {q: 'Wie was er sinds vorige week erg van slag?', as:['notaris ', 'kleinzoon '] }],
[['geen_mis_mis_13',13],'DashedSentence', {s: 'De notaris liet aan geen enkele kleinzoon het testament lezen voor de begrafenis.     \n    Sinds vorige week was zij erg van slag geweest.'}, 'Question', {q: 'Wie was er sinds vorige week erg van slag?', as:['notaris ', 'kleinzoon '] }],
[['geen_mis_match_13',13],'DashedSentence', {s: 'De notaris liet aan geen enkele kleindochter het testament lezen voor de begrafenis.     \n    Sinds vorige week was hij erg van slag geweest.'}, 'Question', {q: 'Wie was er sinds vorige week erg van slag?', as:['notaris ', 'kleindochter '] }],
[['geen_match_mis_13',13],'DashedSentence', {s: 'De notaris liet aan geen enkele kleindochter het testament lezen voor de begrafenis.     \n    Sinds vorige week was zij erg van slag geweest.'}, 'Question', {q: 'Wie was er sinds vorige week erg van slag?', as:['notaris ', 'kleindochter '] }],
[['een_match_match_13',13],'DashedSentence', {s: 'De notaris liet aan slechts één kleinzoon het testament lezen voor de begrafenis.     \n    Sinds vorige week was hij erg van slag geweest.'}, 'Question', {q: 'Wie was er sinds vorige week erg van slag?', as:['notaris ', 'kleinzoon '] }],
[['een_mis_mis_13',13],'DashedSentence', {s: 'De notaris liet aan slechts één kleinzoon het testament lezen voor de begrafenis.     \n    Sinds vorige week was zij erg van slag geweest.'}, 'Question', {q: 'Wie was er sinds vorige week erg van slag?', as:['notaris ', 'kleinzoon '] }],
[['een_mis_match_13',13],'DashedSentence', {s: 'De notaris liet aan slechts één kleindochter het testament lezen voor de begrafenis.     \n    Sinds vorige week was hij erg van slag geweest.'}, 'Question', {q: 'Wie was er sinds vorige week erg van slag?', as:['notaris ', 'kleindochter '] }],
[['een_match_mis_13',13],'DashedSentence', {s: 'De notaris liet aan slechts één kleindochter het testament lezen voor de begrafenis.     \n    Sinds vorige week was zij erg van slag geweest.'}, 'Question', {q: 'Wie was er sinds vorige week erg van slag?', as:['notaris ', 'kleindochter '] }],
